transaction_id,status,id_fin,distance,passengers_count,status1,pac_amount_to_collect,pac_status,pac_enabled,total_amount,linked_parent,amount,txn_tag,doi,doj
TRNAFBEUR7ATIQ,order_cancelled,41526707,1356,2,success,5320.0,collected,true,5320.0,,5320.0,Active                                            ,2019-04-18,20190601
TRNAFBH449VV52,order_cancelled,7145349,750,4,success,6300.0,collected,true,6300.0,,6300.0,NEWLOB                                            ,2019-04-20,20190526
TRNIFAO59SLBS7,order_cancelled,16566013,2284,1,success,635.0,waitlist,true,815.0,,635.0,Active                                            ,2019-03-25,20190403
TRNAFBALTG5PTS,order_cancelled,56100242,1134,1,success,1395.0,collected,true,1395.0,,1395.0,NEWLOB                                            ,2019-04-14,20190518
TRNAFBJ40DJIBW,order_cancelled,29147076,1354,1,success,575.0,collected,true,575.0,,575.0,Active                                            ,2019-04-22,20190523
TRNAFBBE4P31M5,order_cancelled,57894079,365,1,success,0.0,collected,true,250.0,,250.0,Active                                            ,2019-04-15,20190516
TRNAFBCA91XO76,order_cancelled,20443731,598,1,success,945.0,collected,true,945.0,,945.0,Active                                            ,2019-04-16,20190612
TRNAFBI87Q7P72,order_cancelled,56874976,467,3,success,2380.0,collected,true,2380.0,,2380.0,NEWLOB                                            ,2019-04-21,20190609
TRNAFBAOO6GQD2,order_cancelled,32816740,633,1,success,1300.0,collected,true,1300.0,,1300.0,Active                                            ,2019-04-15,20190521
TRNAFBFGJLGXIF,order_cancelled,55121778,1319,1,success,565.0,collected,true,565.0,,565.0,Active                                            ,2019-04-19,20190615
TRNAFBH6K2RTKR,order_cancelled,33252560,1363,3,success,2270.0,collected,true,2270.0,,2270.0,Active                                            ,2019-04-20,20190615
TRNAFBGRT8I20S,order_cancelled,58331778,1234,2,success,2980.0,collected,true,2980.0,,2980.0,NEWGI                                             ,2019-04-20,20190608
TRNAFB9CH0EB2D,order_cancelled,58238313,812,1,success,1150.0,collected,true,1150.0,,1150.0,NEWGI                                             ,2019-04-13,20190604
